SERVICE_CHANGE_NUM,CHANGE_NUM,STOP_ID,STOP_SEQUENCE_NUM,DAY_PART_CD,SERVICE_RTE_NUM,EXPRESS_LOCAL_CD,INBD_OUTBD_CD,HOST_STREET_NM,CROSS_STREET_NM,STOP_PLACEMENT_CD,TRIP_COMPASS_DIR_CD,JURISDICTION_CD,OBSERVED_TRIPS_IDS,TOTAL_OBSERVATIONS,AVG_TRIP_BOARDINGS,AVG_TOTAL_BOARDINGS,AVG_TRIP_ALIGHTINGS,AVG_TOTAL_ALIGHTINGS,AVG_TRIP_DEPARTING_LOAD
191,141,12690,1,AM,3,L,I,34th Ave,E Union St,FS,S,SEA,12,695,3.1,36.9,0,0,3.1
191,141,12700,2,AM,3,L,I,34th Ave,E Marion St,NS,S,SEA,12,694,0.8,9.5,0,0,3.9
191,141,12712,3,AM,3,L,I,34th Ave,E Cherry St,NS,S,SEA,12,696,0.7,7.9,0,0,4.5
191,141,12720,4,AM,3,L,I,E Cherry St,32nd Ave,FS,W,SEA,12,697,2.2,26.3,0,0,6.7
191,141,12740,5,AM,3,L,I,E Cherry St,Martin L King Jr Way,NS,W,SEA,12,697,3.2,38.8,0.1,1.7,9.8
191,141,12760,6,AM,3,L,I,E Cherry St,25th Ave,FS,W,SEA,11,638,1.6,18.1,0.2,1.8,11.6
191,141,13005,7,AM,3,L,I,21st Ave,E James St,FS,N,SEA,3,177,1,3.1,0,0,1
191,141,12770,8,AM,3,L,I,23rd Ave,E Cherry St,FS,S,SEA,14,815,1.9,25.9,0.1,1.6,11.1
191,141,12780,9,AM,3,L,I,E Jefferson St,23rd Ave,FS,W,SEA,14,814,4.3,59.6,0.4,5.8,14.9
191,141,12790,10,AM,3,L,I,E Jefferson St,21st Ave,FS,W,SEA,14,814,3.7,52.3,0,0,18.6
191,141,12805,11,AM,3,L,I,E Jefferson St,18th Ave,FS,W,SEA,14,815,3.4,48.2,0.8,10.7,21.3
191,141,12820,12,AM,3,L,I,E Jefferson St,15th Ave,FS,W,SEA,14,815,2,28.1,0.1,1,23.2
191,141,12840,13,AM,3,L,I,E Jefferson St,12th Ave,FS,W,SEA,14,815,4.1,57,0.5,6.3,26.9
191,141,12860,14,AM,3,L,I,Jefferson St,Broadway,FS,W,SEA,13,756,2.6,33.9,2.3,29.7,27.6
191,141,12880,15,AM,3,L,I,Jefferson St,9th Ave,NS,W,SEA,13,754,4,52.6,3.6,47.3,28
191,141,12890,16,AM,3,L,I,James St,8th Ave,NS,W,SEA,14,815,2.5,35.6,0.7,9.9,28.8
191,141,1540,17,AM,3,L,I,James St,5th Ave,NS,W,SEA,14,812,0.6,8.9,5.2,72.6,24.2
191,141,1550,18,AM,3,L,I,James St,4th Ave,FS,W,SEA,13,754,0.7,9.2,5.9,76.9,19.1
191,141,1530,19,AM,3,L,I,S Jackson St,5th Ave S,FS,W,SEA,3,174,5.1,15.3,0,0,5.1
191,141,1610,20,AM,3,L,I,Prefontaine Pl S,Yesler Way,NS,N,SEA,3,174,0.7,2.2,0.2,0.6,5.6
191,141,531,21,AM,3,L,I,3rd Ave,James St,NS,N,SEA,3,174,0,0,0,0,5.6
191,141,538,22,AM,3,L,I,3rd Ave,Columbia St,NS,N,SEA,16,924,2.1,32.8,3.8,60.2,14.9
191,141,558,23,AM,3,L,I,3rd Ave,Seneca St,NS,N,SEA,16,923,2.8,45.5,3,48.4,14.7
191,141,575,24,AM,3,L,I,3rd Ave,Pike St,NS,N,SEA,15,869,5.2,77.8,3.9,58.1,15.5
191,141,600,25,AM,3,L,I,3rd Ave,Virginia St,FS,N,SEA,15,872,2.4,36.4,3.9,58.7,14
191,141,605,26,AM,3,L,I,3rd Ave,Bell St,FS,N,SEA,12,697,0.7,8.1,1.7,20,16.5
191,141,1690,27,AM,3,L,I,3rd Ave,Vine St,FS,N,SEA,12,695,0.6,7.7,3.9,47.3,13.2
191,141,4200,28,AM,3,L,I,Cedar St,Denny Way,NS,N,SEA,12,696,0.3,4.1,0.8,9.9,12.8
191,141,4220,29,AM,3,L,I,5th Ave N,Broad St,FS,N,SEA,12,697,0.1,0.9,2.7,32.2,10.2
191,141,4230,30,AM,3,L,I,5th Ave N,Republican St,FS,N,SEA,12,697,0.1,1.7,3.3,39.5,7
191,141,4245,31,AM,3,L,I,Valley St,Taylor Ave N,NS,E,SEA,12,697,0.5,5.6,1.6,19.1,5.9
191,141,4265,32,AM,3,L,I,Taylor Ave N,Prospect St,FS,N,SEA,12,697,0.1,1.5,0.1,1.3,5.9
191,141,4280,33,AM,3,L,I,Taylor Ave N,Lee St,NS,N,SEA,12,697,0,0.3,0,0.4,5.9
191,141,4290,34,AM,3,L,I,Taylor Ave N,Galer St,FS,N,SEA,12,697,0.4,4.4,0.1,1,6.2
