serviceChangeNum,routeNum,direction,stopId,stopName,stopOrderNum,timeOfDay,tripBoardings,tripAlightings,departingLoad,dailyBoardings,dailyAlightings
2310,280,O,2342,Everett Station Bay B2,0,AM,3.164,0.000,3.164,9.636,0.000
2310,280,O,3006,Cedar St & Hewitt Ave,1,AM,0.439,0.030,3.561,1.318,0.091
2310,280,O,3087,20th St SE & 79th Ave SE,2,AM,0.455,0.061,3.985,1.364,0.182
2310,280,O,3114,20th St SE & 83rd Ave SE,3,AM,0.455,0.121,4.318,1.364,0.364
2310,280,O,3117,91st Ave SE & 20th St SE,4,AM,0.182,0.045,4.485,0.545,0.136
2310,280,O,800,91st Ave SE & 16th Pl SE,5,AM,0.167,0.455,4.182,0.500,1.364
2310,280,O,2532,91st Ave SE & 11th Pl SE,6,AM,0.242,0.288,4.136,0.727,0.864
2310,280,O,801,91st Ave SE & 8th St SE,7,AM,0.227,0.030,4.303,0.682,0.091
2310,280,O,3113,91st Ave SE & 2nd Pl SE,8,AM,0.000,0.015,4.288,0.000,0.045
2310,280,O,3119,91st Ave SE & 1st St SE,9,AM,0.030,0.000,4.318,0.091,0.000
2310,280,O,469,Market Pl & 91st Ave NE,10,AM,0.576,0.409,4.485,1.727,1.227
2310,280,O,2666,Lake Stevens Transit Center Bay 2,11,AM,0.636,0.394,4.727,1.909,1.182
2310,280,O,2669,4th St NE & 97th Dr NE,12,AM,0.030,0.091,4.667,0.091,0.273
2310,280,O,2670,99th Ave NE & 4th St NE,13,AM,0.000,0.030,4.636,0.000,0.091
2310,280,O,2671,Market Pl & 99th Ave NE,14,AM,0.682,0.045,5.273,2.045,0.136
2310,280,O,3108,Market Pl & Hwy 9,15,AM,0.076,0.000,5.348,0.227,0.000
2310,280,O,454,Lundeen Pkwy & Hwy 9,16,AM,0.106,0.000,5.470,0.318,0.000
2310,280,O,456,Lundeen Pkwy & 101st Ave NE,17,AM,0.076,0.061,5.485,0.227,0.182
2310,280,O,455,Lundeen Pkwy & Vernon Rd,18,AM,0.045,0.121,5.409,0.136,0.364
2310,280,O,441,Lake View Dr & Cedar Rd,19,AM,0.000,0.076,5.333,0.000,0.227
2310,280,O,245,20th St NE & 112th Dr NE,20,AM,0.045,0.500,4.879,0.136,1.500
2310,280,O,248,20th St NE & 116th Ave NE,21,AM,0.000,0.197,4.682,0.000,0.591
2310,280,O,249,20th St NE & 120th Dr NE,22,AM,0.000,0.000,4.682,0.000,0.000
2310,280,O,2225,20th St NE & Main St,23,AM,0.076,0.091,4.667,0.227,0.273
2310,280,O,2574,127th Ave NE & 18th St NE,24,AM,0.015,0.076,4.606,0.045,0.227
2310,280,O,2577,16th St NE & Main St,25,AM,0.015,0.121,4.500,0.045,0.364
2310,280,O,581,Main St & 18th St NE,26,AM,0.182,0.242,4.439,0.545,0.727
2310,280,O,888,Grade Rd & 22nd St NE,27,AM,0.242,0.212,4.470,0.727,0.636
2310,280,O,889,Grade Rd & Catherine Dr,28,AM,0.288,0.015,4.742,0.864,0.045
2310,280,O,887,Grade Rd & Hwy 92,29,AM,0.000,0.030,4.712,0.000,0.091
2310,280,O,532,Hwy 92 & 127th Dr NE,30,AM,0.000,0.030,4.682,0.000,0.091
2310,280,O,534,Hwy 92 & 44th St NE,31,AM,0.015,0.000,4.697,0.045,0.000
2310,280,O,539,Hwy 92 & 44th St NE,32,AM,0.000,0.000,4.697,0.000,0.000
2310,280,O,533,Hwy 92 & 147th Ave NE,33,AM,0.197,0.015,4.879,0.591,0.045
2310,280,O,536,Hwy 92 & 64th St NE,34,AM,0.000,0.000,4.879,0.000,0.000
2310,280,O,540,Hwy 92 & 75th St NE,35,AM,0.061,0.000,4.939,0.182,0.000
2310,280,O,538,Hwy 92 & 161st Ave NE,36,AM,0.000,0.000,4.939,0.000,0.000
2310,280,O,541,Hwy 92 & 84th St NE,37,AM,0.076,0.167,4.864,0.227,0.500
2310,280,O,537,Hwy 92 & Crooked Mile Rd,38,AM,0.000,0.030,4.833,0.000,0.091
2310,280,O,3150,Quarry Rd & 100th St NE,39,AM,0.015,0.485,4.364,0.045,1.455
2310,280,O,3151,100th St NE & Penny Ave,40,AM,0.045,0.394,4.015,0.136,1.182
2310,280,O,3155,W Stanley St & Jordan Rd,41,AM,0.000,0.108,3.923,0.000,0.318
2310,280,O,543,W Stanley St & Portage Ave,42,AM,0.000,0.062,3.862,0.000,0.182
2310,280,O,544,W Stanley St & Cascade Ave,43,AM,0.015,0.262,3.615,0.045,0.773
2310,280,O,2622,E Stanley St & S Indiana Ave,44,AM,0.000,0.308,3.308,0.000,0.909
2310,280,O,1302,E Stanley St & S Alder Ave,45,AM,0.015,2.354,0.969,0.045,6.955
2310,280,O,1839,E Pioneer St & S Alder Ave,46,AM,0.000,0.000,0.969,0.000,0.000
2310,280,O,890,Granite Falls Park & Ride,47,AM,0.000,0.985,-0.015,0.000,2.909
2310,280,O,2342,Everett Station Bay B2,0,MID,6.203,0.000,6.203,41.727,0.000
2310,280,O,3006,Cedar St & Hewitt Ave,1,MID,0.452,0.103,6.541,3.000,0.682
2310,280,O,3087,20th St SE & 79th Ave SE,2,MID,0.250,0.424,6.227,1.500,2.545
2310,280,O,3114,20th St SE & 83rd Ave SE,3,MID,0.167,0.197,6.197,1.000,1.182
2310,280,O,3117,91st Ave SE & 20th St SE,4,MID,0.098,0.295,6.000,0.591,1.773
2310,280,O,800,91st Ave SE & 16th Pl SE,5,MID,0.083,0.061,6.023,0.500,0.364
2310,280,O,2532,91st Ave SE & 11th Pl SE,6,MID,0.106,0.083,6.045,0.636,0.500
2310,280,O,801,91st Ave SE & 8th St SE,7,MID,0.045,0.083,6.008,0.273,0.500
2310,280,O,3113,91st Ave SE & 2nd Pl SE,8,MID,0.000,0.023,5.985,0.000,0.136
2310,280,O,3119,91st Ave SE & 1st St SE,9,MID,0.061,0.083,5.962,0.364,0.500
2310,280,O,469,Market Pl & 91st Ave NE,10,MID,0.174,0.955,5.182,1.045,5.727
2310,280,O,2666,Lake Stevens Transit Center Bay 2,11,MID,0.955,1.188,4.925,5.773,7.182
2310,280,O,2669,4th St NE & 97th Dr NE,12,MID,0.135,0.105,4.962,0.818,0.636
2310,280,O,2670,99th Ave NE & 4th St NE,13,MID,0.015,0.008,4.970,0.091,0.045
2310,280,O,2671,Market Pl & 99th Ave NE,14,MID,0.060,0.128,4.902,0.364,0.773
2310,280,O,3108,Market Pl & Hwy 9,15,MID,0.060,0.030,4.932,0.364,0.182
2310,280,O,454,Lundeen Pkwy & Hwy 9,16,MID,0.053,0.045,4.940,0.318,0.273
2310,280,O,456,Lundeen Pkwy & 101st Ave NE,17,MID,0.158,0.241,4.857,0.955,1.455
2310,280,O,455,Lundeen Pkwy & Vernon Rd,18,MID,0.030,0.053,4.827,0.182,0.318
2310,280,O,441,Lake View Dr & Cedar Rd,19,MID,0.000,0.203,4.624,0.000,1.227
2310,280,O,245,20th St NE & 112th Dr NE,20,MID,0.000,0.105,4.519,0.000,0.636
2310,280,O,248,20th St NE & 116th Ave NE,21,MID,0.165,0.301,4.383,1.000,1.818
2310,280,O,249,20th St NE & 120th Dr NE,22,MID,0.000,0.128,4.256,0.000,0.773
2310,280,O,2225,20th St NE & Main St,23,MID,0.023,0.602,3.677,0.136,3.636
2310,280,O,2574,127th Ave NE & 18th St NE,24,MID,0.008,0.631,3.031,0.045,3.727
2310,280,O,2577,16th St NE & Main St,25,MID,0.008,0.123,2.915,0.045,0.727
2310,280,O,581,Main St & 18th St NE,26,MID,0.108,0.069,2.954,0.636,0.409
2310,280,O,888,Grade Rd & 22nd St NE,27,MID,0.092,0.038,3.046,0.545,0.227
2310,280,O,889,Grade Rd & Catherine Dr,28,MID,0.286,0.045,3.286,1.727,0.273
2310,280,O,887,Grade Rd & Hwy 92,29,MID,0.000,0.008,3.278,0.000,0.045
