serviceChangeNum,routeNum,direction,stopId,stopName,stopOrderNum,timeOfDay,tripBoardings,tripAlightings,departingLoad,dailyBoardings,dailyAlightings
251,150,I,57458,Kent Sounder Station - Bay 8,1,AM,7.8,0,7.8,133,0
251,150,I,79248,4th Ave N & W Smith St,2,AM,0.4,0,8.2,7,0.6
251,150,I,80820,W James St & 4th Ave N,3,AM,0.4,0,8.6,6.9,0
251,150,I,59773,W James St & Lincoln Ave N,4,AM,0.4,0.1,8.9,6,0.9
251,150,I,50712,W James St & Washington Ave N,5,AM,1.3,0.4,9.8,22.4,7.2
251,150,I,50774,64th Ave S & W James St,6,AM,3.1,0.2,12.7,53.5,3.9
251,150,I,57461,64th Ave S & S 236th St,7,AM,1,0.2,13.6,17.4,2.7
251,150,I,57462,64th Ave S & S 231st St,8,AM,0,0.4,13.2,0.5,6
251,150,I,79213,S 228th St & 64th Ave S,9,AM,0.1,0.4,12.9,1.9,6.7
251,150,I,79234,68th Ave S & S 228th St,10,AM,0.1,0.4,12.6,0.9,6.2
251,150,I,79236,68th Ave S & S 224th St,11,AM,0,0.1,12.5,0.5,2.2
251,150,I,79237,68th Ave S & S 220th St,12,AM,0,0.7,11.9,0.2,11.5
251,150,I,79238,68th Ave S & S 216th St,13,AM,0,0.1,11.8,0,2
251,150,I,58085,68th Ave S & S 212th St,14,AM,0.8,0.4,12.3,14.3,6.3
251,150,I,58074,68th Ave S & S 208th St,15,AM,0,0.2,11.7,0.7,3.8
251,150,I,58075,68th Ave S & S 204th St,16,AM,0,0.4,11.3,0.7,6.6
251,150,I,58137,58th Pl S & Russell Rd,17,AM,0.2,1.6,5.3,0.2,1.6
251,150,I,58139,S 194th Way & 58th Pl S,18,AM,0,0,5.3,0,0
251,150,I,58135,S 194th St & 62nd Ave S,19,AM,0,2.2,3.1,0,2.2
251,150,I,58086,68th Ave S & S 196th St,20,AM,0.1,0.8,10.5,1.2,12
251,150,I,58087,West Valley Hwy S & S 190th St,21,AM,0.3,1.2,9.9,5.4,19.8
251,150,I,58088,S 180th St & Sperry Dr,22,AM,1,1,9.9,17.7,17
251,150,I,60380,Andover Park W & S 180th St,23,AM,0.1,0.4,9.7,1.4,6
251,150,I,60400,Andover Park W & Midland Dr,24,AM,0,0.1,9.5,0,2
251,150,I,60410,Andover Park W & Minkler Blvd,25,AM,0.1,0.3,9.4,1.8,4.7
251,150,I,60420,Andover Park W & Corporate Dr N,26,AM,0,0,9.4,0.7,0.3
251,150,I,60428,Andover Park W & Strander Blvd,27,AM,0.3,0.7,8.9,4.9,12.5
251,150,I,59316,Andover Park W & Baker Blvd - Bay 4,28,AM,1.6,2.2,8.4,27.4,37.5
251,150,I,58102,Southcenter Blvd & 62nd Ave S,29,AM,1,0.1,9.1,16.3,1.5
251,150,I,58104,Southcenter Blvd & 65th Ave S,30,AM,0.4,0,9.5,6.1,0
251,150,I,80680,Interurban Ave S & Fort Dent Way,31,AM,0.4,0.3,9.5,5.6,4.7
251,150,I,80692,Interurban Ave S & S 147th St,32,AM,0.3,0.1,9.7,4.6,2
