serviceChangeNum,routeNum,direction,stopId,stopName,stopOrderNum,timeOfDay,tripBoardings,tripAlightings,departingLoad,dailyBoardings,dailyAlightings
243,556,O,64561,Issaquah Highlands Park & Ride - Bay 4,1,AM,3.8,0,3.8,34.2,0
243,556,O,64549,9th Ave NE & NE Ellis Dr,2,AM,1.1,0,4.9,10.3,0
243,556,O,64585,Issaquah Transit Center - Bay 3,3,AM,4.1,0.2,8.8,36.5,1.9
243,556,O,67014,Eastgate Park & Ride - Bay 1,4,AM,2.5,0.6,9.9,19.6,5
243,556,O,84292,South Bellevue Station Bus Plaza - Bay 3,5,AM,1.1,0.2,10.9,9.1,1.2
243,556,O,67960,Bellevue Way SE & SE 16th St,6,AM,0.4,0,11.3,2.8,0.1
243,556,O,67990,Bellevue Way SE & SE 10th St,7,AM,0.2,0,11.5,1.6,0
243,556,O,68020,Bellevue Way SE & SE 3rd St,8,AM,0.7,0.2,11.9,5.4,1.5
243,556,O,68035,Bellevue Way NE & Main St,9,AM,0.4,0.2,12.2,3.2,1.4
243,556,O,68042,NE 4th St & 105th Ave NE,10,AM,0.1,1.8,10.9,1.1,14.3
243,556,O,67655,Bellevue Transit Center - Bay 8,11,AM,2.7,3.1,10.3,21.5,25
243,556,O,71356,Clyde Hill/Yarrow Pt & Sr-520 - 92nd Avenue,12,AM,0.7,0.1,10.7,5,0.8
243,556,O,71355,Sr 520 & Evergreen Point Rd,13,AM,0.7,0.1,11.2,4.6,0.7
243,556,O,25755,Montlake Blvd NE & NE Pacific Pl - Bay 4,14,AM,0.2,4.5,6.8,1.3,31.4
243,556,O,29420,NE Pacific St & 15th Ave NE,15,AM,0,1.9,4.9,0,13.3
243,556,O,29440,15th Ave NE & NE Campus Pkwy,16,AM,0,2.7,2.2,0.1,19.1
243,556,O,11352,15th Ave NE & NE 42nd St,17,AM,0,2.3,0,0.1,15.8
243,556,O,64561,Issaquah Highlands Park & Ride - Bay 4,1,MID,6,0,6,6,0
243,556,O,64549,9th Ave NE & NE Ellis Dr,2,MID,2.6,0,8.7,2.6,0
243,556,O,64585,Issaquah Transit Center - Bay 3,3,MID,4.7,0.1,13.2,4.7,0.1
243,556,O,67014,Eastgate Park & Ride - Bay 1,4,MID,2.5,1.2,14.8,4.9,2.3
243,556,O,84292,South Bellevue Station Bus Plaza - Bay 3,5,MID,1,0.3,15.5,1.9,0.5
243,556,O,67960,Bellevue Way SE & SE 16th St,6,MID,0.8,0.1,16.2,1.6,0.1
243,556,O,67990,Bellevue Way SE & SE 10th St,7,MID,0.4,0,16.6,0.8,0
243,556,O,68020,Bellevue Way SE & SE 3rd St,8,MID,0.9,0.1,17.4,1.8,0.1
243,556,O,68035,Bellevue Way NE & Main St,9,MID,0.9,1.1,17.2,1.7,2.2
243,556,O,68042,NE 4th St & 105th Ave NE,10,MID,0.3,4.1,14.6,0.6,8.1
243,556,O,67655,Bellevue Transit Center - Bay 8,11,MID,2.6,5.2,11.4,5.1,10.3
243,556,O,71356,Clyde Hill/Yarrow Pt & Sr-520 - 92nd Avenue,12,MID,1.4,0.1,12.9,4.2,0.4
243,556,O,71355,Sr 520 & Evergreen Point Rd,13,MID,0.4,0.1,13.2,1.2,0.4
243,556,O,25755,Montlake Blvd NE & NE Pacific Pl - Bay 4,14,MID,0.2,3,10.3,0.6,9
243,556,O,29420,NE Pacific St & 15th Ave NE,15,MID,0.3,3.7,6.9,0.8,11.1
243,556,O,29440,15th Ave NE & NE Campus Pkwy,16,MID,0,4,2.9,0,11.9
243,556,O,11352,15th Ave NE & NE 42nd St,17,MID,0,2.9,0,0,8.8
243,556,I,10912,15th Ave NE & NE 43rd St,1,PM,2.5,0,2.6,20.2,0
243,556,I,10914,15th Ave NE & NE Campus Pkwy,2,PM,2.4,0,4.9,18.9,0
243,556,I,10917,15th Ave NE & NE 40th St,3,PM,1.8,0.1,6.6,14.4,0.4
243,556,I,29240,NE Pacific St & 15th Ave NE,4,PM,1.8,0.1,8.4,14.4,0.8
243,556,I,29247,NE Pacific St & Montlake Blvd NE - Bay 1,5,PM,3.7,0.3,11.8,29.3,2.2
243,556,I,71348,Sr 520 & Evergreen Point Rd,6,PM,0.2,1.1,10.8,1.9,9
243,556,I,71359,Clyde Hill/Yarrow Pt & Sr-520 - 92nd Avenue,7,PM,0.4,0.3,10.9,3.3,2.6
243,556,I,68005,Bellevue Transit Center - Bay 5,8,PM,3.1,3.2,11.5,21.7,22.1
243,556,I,85640,NE 4th St & 108th Ave NE,9,PM,1.6,0.3,12.7,11.2,2.4
243,556,I,67620,Bellevue Way NE & NE 4th St,10,PM,1.9,0.6,14.1,13.6,4.4
243,556,I,67640,Bellevue Way SE & Main St,11,PM,0.5,0.4,14.2,3.6,2.7
243,556,I,67650,Bellevue Way SE & SE 3rd St,12,PM,0.2,0.3,14,1.1,2.3
243,556,I,67700,Bellevue Way SE & SE 11th St,13,PM,0,0.1,13.9,0,0.9
243,556,I,67720,Bellevue Way SE & SE 16th St,14,PM,0,0.4,13.6,0.1,2.7
243,556,I,84263,South Bellevue Station Bus Plaza - Bay 1,15,PM,0.5,0.8,13.2,3.6,5.9
243,556,I,67013,I-90 Expressway Ramp & 142nd Pl SE - Bay 4,16,PM,1.2,1.6,12.8,8.1,11.4
243,556,I,64590,Issaquah Transit Center - Bay 6,17,PM,0.4,6.2,8.2,2.4,37.2
243,556,I,65150,Highlands Dr NE & NE Ellis Dr,18,PM,0,3,5.2,0,18
243,556,I,64566,Issaquah Highlands Park & Ride - Bay 3,19,PM,0.1,5.3,0,0.7,31.8
243,556,I,68005,Bellevue Transit Center - Bay 5,8,XEV,1.1,2.1,5.6,1.1,2.1
243,556,I,85640,NE 4th St & 108th Ave NE,9,XEV,0.1,0.2,5.3,0.1,0.2
243,556,I,67620,Bellevue Way NE & NE 4th St,10,XEV,0.6,0.6,5.5,0.6,0.6
243,556,I,67640,Bellevue Way SE & Main St,11,XEV,0.2,0.3,5.4,0.2,0.3
243,556,I,67650,Bellevue Way SE & SE 3rd St,12,XEV,0,0.1,5.3,0,0.1
243,556,I,67700,Bellevue Way SE & SE 11th St,13,XEV,0,0.1,5.2,0,0.1
243,556,I,67720,Bellevue Way SE & SE 16th St,14,XEV,0,0.2,5,0,0.2
243,556,I,84263,South Bellevue Station Bus Plaza - Bay 1,15,XEV,0.1,0.4,4.7,0.1,0.4
243,556,I,67013,I-90 Expressway Ramp & 142nd Pl SE - Bay 4,16,XEV,0.3,1,4,0.3,1
243,556,I,64590,Issaquah Transit Center - Bay 6,17,XEV,0.2,1.9,3.2,0.4,3.7
243,556,I,65150,Highlands Dr NE & NE Ellis Dr,18,XEV,0,0.9,2.5,0,1.7
243,556,I,64566,Issaquah Highlands Park & Ride - Bay 3,19,XEV,0.1,2.5,0,0.2,4.9
